,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL,PARKCODE
0,2023,"3,833","4,575","8,030","6,448","8,759","7,702","7,067","7,361","6,101","5,468","4,269","3,112","72,725",HOBE
1,2022,"4,278","3,791","6,518","5,934","7,408","7,501","6,628","6,294","5,864","5,565","4,756","3,236","67,773",HOBE
2,2021,"1,555","2,146","3,907","3,382","6,587","6,967","7,505","6,532","6,252","5,958","4,567","2,927","58,285",HOBE
3,2020,"1,373","1,754","3,382",747,910,"4,425","4,713","3,722","2,586","2,042","1,686","1,260","28,600",HOBE
4,2019,96,"1,961","6,644","3,756","6,528","5,381","8,193","3,853","2,387","2,348","2,122","2,103","45,372",HOBE
5,2018,"2,265","3,495","8,948","4,731","5,394","5,248","5,992","3,796","3,424","2,825","2,116",257,"48,491",HOBE
6,2017,"4,548","5,224","9,155","9,218","8,237","6,537","7,715","5,290","5,259","4,657","5,429","2,986","74,255",HOBE
7,2016,"3,476","5,050","9,691","8,309","8,214","8,438","8,105","7,992","5,913","8,533","5,065","4,584","83,370",HOBE
8,2015,"3,942","4,192","10,685","6,995","10,354","8,378","7,992","7,088","6,098","6,517","5,576","11,465","89,282",HOBE
9,2014,"3,029","3,318","12,677","4,364","5,201","5,989","6,190","5,309","4,837","5,748","4,735","2,962","64,359",HOBE
10,2013,"3,764","3,584","5,365","5,346","7,433","6,006","6,543","5,212","5,016","2,957","2,804","1,935","55,965",HOBE
11,2012,"3,410","3,650","7,771","5,872","5,855","5,785","5,613","4,478","4,701","4,609","3,764","3,160","58,668",HOBE
12,2011,"2,675","4,038","5,929","7,486","6,625","7,376","8,952","4,424","5,321","5,945","4,084","3,037","65,892",HOBE
13,2010,"3,686","3,465","8,316","5,816","5,582","7,134","7,012","6,989","5,963","5,903","4,438","3,472","67,776",HOBE
14,2009,"2,606","3,905","7,811","6,333","7,296","8,183","8,148","7,105","5,874","5,810","6,667","2,494","72,232",HOBE
15,2008,"3,384","4,011","8,952","3,949","5,209","4,501","5,255","3,975","3,005","3,437","2,476","2,565","50,719",HOBE
16,2007,"4,021","3,685","9,006","5,894","8,176","7,544","5,523","9,538","6,030","5,252","5,664","3,336","73,669",HOBE
17,2006,"3,746","2,969","6,655","6,916","7,437","6,603","7,529","7,041","7,086","5,326","4,818","3,941","70,067",HOBE
18,2005,"3,519","3,566","7,404","5,040","5,720","5,744","4,420","5,703","4,098","4,894","4,169","4,287","58,564",HOBE
19,2004,"4,902","5,229","7,919","5,992","6,620","7,486","9,671","8,214","8,012","9,577","9,449","4,885","87,956",HOBE
20,2003,"5,766","6,934","13,551","7,911","8,015","7,964","6,490","8,774","5,337","5,056","5,346","4,167","85,311",HOBE
21,2002,"7,551","6,739","12,458","8,686","10,294","9,507","9,325","9,369","7,553","8,741","7,871","5,939","104,033",HOBE
22,2001,"10,048","10,407","14,241","11,430","9,292","10,560","9,248","7,927","7,724","6,145","6,941","4,227","108,190",HOBE
23,2000,"8,334","8,896","14,223","12,925","10,315","12,317","11,213","9,740","9,842","11,337","9,269","6,961","125,372",HOBE
24,1999,"7,312","7,797","11,650","10,506","10,291","9,964","8,539","8,317","9,123","9,956","9,835","8,564","111,854",HOBE
25,1998,"7,901","6,038","13,342","10,254","12,814","12,737","10,558","8,918","9,004","8,853","7,310","6,992","114,721",HOBE
26,1997,"1,805","2,718","7,628","9,750","10,215","10,411","10,243","9,615","9,456","9,901","9,346","5,999","97,087",HOBE
27,1996,"2,080","3,859","12,982","9,289","10,952","10,884","10,772","9,833","10,100","8,024","3,834","3,242","95,851",HOBE
28,1995,"4,349","6,054","13,644","10,517","11,231","9,453","11,864","10,254","9,513","10,256","7,155","2,152","106,442",HOBE
29,1994,"5,904","7,523","12,650","11,240","10,977","9,536","10,928","8,790","8,532","10,776","10,015","5,991","112,862",HOBE
